               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027869,            0.035021,           0.0035047,             0.98761,             0.98971,             0.98812,             0.71617,             0.01906,            0.025525,           0.0022548,            0.006535,            0.006535,            0.006535
                  37,            0.027794,            0.035442,           0.0035999,             0.98562,             0.98505,             0.98476,             0.67281,            0.022877,            0.026419,            0.002126,            0.006436,            0.006436,            0.006436
                  38,             0.02739,            0.034403,           0.0033873,             0.99372,             0.99474,             0.99449,             0.71122,            0.020786,            0.026241,           0.0021339,            0.006337,            0.006337,            0.006337
                  39,            0.027048,            0.035011,           0.0032924,             0.99343,             0.99478,             0.99334,             0.73431,            0.019294,            0.026439,           0.0021034,            0.006238,            0.006238,            0.006238
                  40,            0.026891,            0.034199,           0.0033789,             0.99498,             0.99159,             0.99328,             0.71326,            0.020236,            0.025337,           0.0020882,            0.006139,            0.006139,            0.006139
                  41,            0.026573,            0.034816,             0.00327,             0.99003,             0.99575,             0.99364,             0.72485,            0.018513,             0.02526,           0.0020345,             0.00604,             0.00604,             0.00604
                  42,            0.026247,            0.034319,           0.0030813,             0.98953,             0.99318,             0.99184,             0.69761,            0.022621,             0.02665,           0.0019569,            0.005941,            0.005941,            0.005941
                  43,            0.025931,            0.034032,           0.0031238,             0.98967,             0.99122,             0.98805,             0.69981,            0.020736,            0.026408,           0.0020337,            0.005842,            0.005842,            0.005842
                  44,            0.025757,            0.033967,           0.0029342,             0.98886,             0.99318,             0.99163,             0.72801,            0.018861,            0.025206,           0.0020274,            0.005743,            0.005743,            0.005743
                  45,             0.02575,            0.034044,           0.0029474,             0.98627,              0.9887,             0.98699,             0.69657,            0.021369,            0.025705,           0.0018667,            0.005644,            0.005644,            0.005644
                  46,            0.025038,            0.032667,           0.0028676,             0.99043,             0.99593,             0.99312,              0.7131,            0.019479,             0.02562,           0.0018576,            0.005545,            0.005545,            0.005545
                  47,            0.025228,            0.034145,           0.0029405,             0.99077,             0.99658,             0.99313,             0.73713,            0.017662,            0.025119,           0.0018655,            0.005446,            0.005446,            0.005446
                  48,            0.025086,            0.032536,           0.0028891,             0.98967,             0.99093,             0.98974,             0.70698,            0.019548,            0.026273,           0.0018124,            0.005347,            0.005347,            0.005347
                  49,            0.024897,            0.032933,           0.0028481,             0.99107,             0.99183,             0.98997,             0.73181,            0.017173,            0.024457,           0.0018789,            0.005248,            0.005248,            0.005248
                  50,            0.024831,            0.032917,           0.0027115,             0.99185,             0.99544,             0.98936,             0.71333,            0.019071,            0.025067,           0.0017049,            0.005149,            0.005149,            0.005149
                  51,            0.024193,            0.033324,           0.0027304,             0.99015,             0.98952,             0.98721,              0.7125,            0.017987,            0.024521,           0.0017614,             0.00505,             0.00505,             0.00505
